cluster_name,theory_id,theory_name,paper_title,doi
"Accumulated Damage Theory",T015469,"Damage Accumulation Theory of Aging","Essential Physiological Differences Characterize Short- and Long-Lived Strains of Drosophila melanogaster.",10.1093/gerona/gly143
"Accumulated Damage Theory",T016006,"Damage accumulation theory (including free radical theory)","The aging brain: sleep; the circadian clock and exercise.",10.1016/j.bcp.2021.114563
"Accumulated Damage Theory",T016330,"Damage Accumulation Theory of Aging","Nutritional Preconditioning in Cancer Treatment in Relation to DNA Damage and Aging.",10.1146/annurev-cancerbio-060820-090737
"Accumulated Damage Theory",T016445,"Damage Accumulation Theory of Aging in Idiopathic Pulmonary Fibrosis","The Role of Aging in Idiopathic Pulmonary Fibrosis.",10.1007/s00408-015-9729-3
"Accumulated Damage Theory",T017067,"Damage accumulation theory of aging","The short-lived African turquoise killifish: an emerging experimental model for ageing.",10.1242/dmm.023226
"Accumulated Damage Theory",T017094,"Damage Accumulation Theory of Aging","The multiple and irreversible causes of aging.",10.1093/gerona/59.6.b568
"Accumulated Damage Theory",T017704,"Age-related somatic damage accumulation and compensatory failure theory of Parkinson's disease","Ageing; neurodegeneration and Parkinson's disease.",10.1093/ageing/afp223
"Accumulated Damage Theory",T018169,"Damage Accumulation Theory of Aging","The close relationship between biological aging and age-associated pathologies in humans.",10.1093/gerona/59.6.b543
"Accumulated Damage Theory",T018212,"Damage Accumulation Theory (Somatic Mutation and Molecular Damage)","The biology of aging.",10.1111/j.1532-5415.1966.tb03069.x
"Accumulated Damage Theory",T018672,"Damage Accumulation Theory of Aging","Regulatory mechanisms and clinical manifestations of musculoskeletal aging.",10.1002/jor.24292
"Accumulated Damage Theory",T018797,"Damage Accumulation Theory of Aging","Aging; anti-aging; and hormesis.",10.1016/j.mad.2004.01.006
"Accumulated Damage Theory",T018878,"Damage Accumulation Theory of Aging","The Oddity of Heterogeneity: A Blessing in Disguise.",10.1038/s41598-018-29081-7
"Accumulated Damage Theory",T019034,"Damage Accumulation Theory of Aging","Overview of cancer and aging: a mechanistic perspective.",10.1016/0531-5565(92)90011-n
"Accumulated Damage Theory",T019120,"Damage accumulation theory of aging","Prediction and characterization of human ageing-related proteins by using machine learning.",10.1038/s41598-018-22240-w
"Accumulated Damage Theory",T019366,"Damage Accumulation and Hallmarks of Ageing Theory","Identifying Potential Ageing-Modulating Drugs In Silico.",10.1016/j.tem.2018.11.005
"Accumulated Damage Theory",T019688,"Damage Accumulation Theory of Aging","Mitochondrial function in neurodegeneration and ageing.",10.1016/0921-8734(92)90018-k
"Accumulated Damage Theory",T019710,"Damage Accumulation Theory of Muscle Aging (Sarcopenia) in C. elegans","New haystacks reveal new needles: using Caenorhabditis elegans to identify novel targets for ameliorating body composition changes during human aging.",10.1159/000319996
"Accumulated Damage Theory",T019992,"Mitochondrial damage accumulation theory of aging","Mitochondrial function in muscle from elderly athletes.",10.1002/ana.410410120
"Accumulated Damage Theory",T020013,"Oxidative Stress Damage Accumulation Theory of Aging","Mnsod overexpression extends the yeast chronological (G(0)) life span but acts independently of Sir2p histone deacetylase to shorten the replicative life span of dividing cells.",10.1016/s0891-5849(03)00210-7
"Accumulated Damage Theory",T020020,"Garbage accumulation theory of aging","Mitochondrial damage and intralysosomal degradation in cellular aging.",10.1016/j.mam.2006.08.006
"Accumulated Damage Theory",T020180,"Damage Accumulation Theory of Aging","High transcript levels of heat-shock genes are associated with shorter lifespan of Caenorhabditis elegans.",10.1016/j.exger.2014.09.005
"Accumulated Damage Theory",T020744,"Damage Accumulation Theory (Oxidative Damage and DNA Mutation Accumulation)","Genes; telomeres and mammalian ageing.",10.1016/s0047-6374(01)00424-9
"Accumulated Damage Theory",T020855,"Damage Accumulation Theory of Aging","Yeast at the Forefront of Research on Ageing and Age-Related Diseases.",10.1007/978-3-030-13035-0_9
"Accumulated Damage Theory",T020889,"Damage Accumulation Theory of Aging via Cellular Stress Response Decline","Cellular stress response pathways and ageing: intricate molecular relationships.",10.1038/emboj.2011.162
"Accumulated Damage Theory",T021023,"Damage Accumulation Theory of Aging","Recent advances in understanding the mechanisms determining longevity.",10.12688/f1000research.19610.1
"Accumulated Damage Theory",T021035,"Damage Accumulation Theory of Ageing","Metformin and ageing: improving ageing outcomes beyond glycaemic control.",10.1007/s00125-017-4349-5
"Accumulated Damage Theory",T021094,"Damage Accumulation Theory of Aging","Age- and diet-associated metabolome remodeling characterizes the aging process driven by damage accumulation.",10.7554/eLife.02077
"Accumulated Damage Theory",T021111,"Damage Accumulation Theory of Aging","Healthy ageing: a question of stress; damage and repair. Meeting on mechanisms of biological ageing.",10.1093/embo-reports/kvf247
"Accumulated Damage Theory",T021132,"Damage Accumulation Theory of Aging Accelerated by Cigarette Smoke","Cigarette smoke--an aging accelerator?",10.1016/j.exger.2006.09.016
"Accumulated Damage Theory",T021949,"Accumulated Damage Theory of Aging (Lipofuscin Accumulation Variant)","Bernard Strehler-inspiration for basic research into the mechanisms of aging.",10.1016/s0047-6374(02)00020-9
"Accumulated Damage Theory",T022153,"Damage Accumulation Theory of Aging","Transcriptional profile of aging in C. elegans.",10.1016/s0960-9822(02)01146-6
"Accumulated Damage Theory",T022319,"Damage Accumulation Theory of Aging via Protein Oxidation and Glycation","Accumulation of modified proteins and aggregate formation in aging.",10.1016/j.exger.2014.05.016
"Accumulated Damage Theory",T022399,"Damage Accumulation Theory via Mitochondrial DNA Mutations","Mouse models of ageing and their relevance to disease.",10.1016/j.mad.2016.10.001
"Accumulated Damage Theory",T022516,"Entropic Damage Accumulation Theory of Aging","Tissue aging: the integration of collective and variant responses of cells to entropic forces over time.",10.1016/j.ceb.2018.05.016
"Accumulated Damage Theory",T022586,"Damage Accumulation Theory of Aging","Youth maintenance and postponing human aging in reality.",10.1089/rej.2008.0675
"Accumulated Damage Theory",T022624,"Damage Accumulation Theory of Aging","Cellular mechanisms of somatic stem cell aging.",10.1016/B978-0-12-416022-4.00014-7
"Accumulated Damage Theory",T023120,"Damage Accumulation Theory of Brain Aging","Herbal/Natural Compounds Resist Hallmarks of Brain Aging: From Molecular Mechanisms to Therapeutic Strategies.",10.3390/antiox12040920
"Accumulated Damage Theory",T023142,"Damage Accumulation Theories (Oxidative Damage Theory)","Biological and Functional Biomarkers of Aging: Definition; Characteristics; and How They Can Impact Everyday Cancer Treatment.",10.1007/s11912-020-00977-w
"Accumulated Damage Theory",T023372,"Damage accumulation theory of aging","Defects in cytokine-mediated neuroprotective glial responses to excitotoxic hippocampal injury in senescence-accelerated mouse.",10.1016/j.bbi.2010.08.006
"Accumulated Damage Theory",T023405,"Damage Accumulation Theory of Aging","Red blood cells open promising avenues for longitudinal studies of ageing in laboratory; non-model and wild animals.",10.1016/j.exger.2015.09.001
"Accumulated Damage Theory",T023958,"Damage Accumulation Theory (Mitochondrial and Oxidative Stress Pathways)","Genomic studies in ageing research: the need to integrate genetic and gene expression approaches.",10.1111/j.1365-2796.2007.01904.x
"Accumulated Damage Theory",T024032,"Damage Accumulation Theory of Aging via Protein Oxidation","Protein oxidation; repair mechanisms and proteolysis in Saccharomyces cerevisiae.",10.1080/15216540701225958
"Accumulated Damage Theory",T024200,"Damage Accumulation Theory of Aging","Nutrigenomics at the Interface of Aging; Lifespan; and Cancer Prevention.",10.3945/jn.116.235119
"Accumulated Damage Theory",T024265,"Damage Accumulation Theory of Aging (Oxidative Stress Focus)","Melatonin to Rescue the Aged Heart: Antiarrhythmic and Antioxidant Benefits.",10.1155/2021/8876792
"Accumulated Damage Theory",T024459,"Damage Accumulation Theory of Aging","Longevity-Promoting Pharmaceuticals: Is it a Time for Implementation?",10.1016/j.tips.2016.02.003
"Accumulated Damage Theory",T024563,"Oxidative Stress and Damage Accumulation Theory of Aging","Extension of lifespan and protection against oxidative stress by an antioxidant herb mixture complex (KPG-7) in Caenorhabditis elegans.",10.3164/jcbn.13-11
"Accumulated Damage Theory",T024911,"Damage Accumulation Theory of Aging and Cancer","Unraveling the links between cancer and aging.",10.1093/carcin/bgv100
"Accumulated Damage Theory",T024916,"Damage Accumulation Theory of Aging","Exome and whole genome sequencing in aging and longevity.",10.1007/978-1-4939-2404-2_6
"Accumulated Damage Theory",T024936,"Damage Accumulation Theory via Proteasome Dysfunction","Linkage between the proteasome pathway and neurodegenerative diseases and aging.",10.1385/MN:30:2:201
"Accumulated Damage Theory",T024951,"Damage Accumulation Theory of Aging via Oxidative Protein Damage and Aggregation","Pathophysiological importance of aggregated damaged proteins.",10.1016/j.freeradbiomed.2014.02.028
"Accumulated Damage Theory",T024967,"Damage Accumulation Theory of Aging","Nutrition and ageing: knowledge; gaps and research priorities.",10.1017/S0029665112003023
"Accumulated Damage Theory",T024980,"Damage Accumulation Theory of Aging via Oxidative Stress in Flight Muscles","The effects of age and lifetime flight behavior on flight capacity in Drosophila melanogaster.",10.1242/jeb.095646
"Accumulated Damage Theory",T025072,"Damage accumulation theory of aging (SENS approach)","Curing ageing and the consequences. An interview with Aubrey de Grey; biomedical gerontologist at the University of Cambridge; UK. Interview by Holger Breithaupt and Caroline Hadley.",10.1038/sj.embor.7400354
"Accumulated Damage Theory",T025201,"Cellular damage accumulation theory linking aging and cancer","Cancer-free aging: Insights from Spalax ehrenbergi superspecies.",10.1016/j.arr.2018.06.004
"Accumulated Damage Theory",T025350,"Damage accumulation theory via reactive oxygen species (ROS) and antioxidant defense","Testing an 'aging gene' in long-lived drosophila strains: increased longevity depends on sex and genetic background.",10.1046/j.1474-9728.2003.00044.x
"Accumulated Damage Theory",T025370,"Damage Accumulation Theory of Aging","Toward priorities for aging research.",10.1089/rej.2013.1508
"Accumulated Damage Theory",T025384,"Damage Accumulation Theory of Aging","Tragedy and delight: the ethics of decelerated ageing.",10.1098/rstb.2010.0288
"Accumulated Damage Theory",T025406,"Damage Accumulation Theory (Free Radical Theory of Aging)","Has the time come to take on time itself?",10.1136/bmj.a414
"Accumulated Damage Theory",T025436,"Damage Accumulation Theory of Brain Ageing","Ageing and the brain.",10.1002/path.2089
"Accumulated Damage Theory",T025640,"Damage Accumulation Theory of Aging","Aging and Multimorbidity: New Tasks; Priorities; and Frontiers for Integrated Gerontological and Clinical Research.",10.1016/j.jamda.2015.03.013
"Accumulated Damage Theory",T025794,"Damage Accumulation Theory of Aging","Aging: damage accumulation versus increasing mortality rate.",10.1016/j.mbs.2006.09.007
"Accumulated Damage Theory",T026136,"Damage Accumulation Theory of Aging","Impact of coffee intake on human aging: Epidemiology and cellular mechanisms.",10.1016/j.arr.2024.102581
"Antagonistic Pleiotropy Theory",T000054,"Evolutionary theory of aging via natural selection on aging-associated genes","Analyses of human-chimpanzee orthologous gene pairs to explore evolutionary hypotheses of aging.",10.1016/j.mad.2007.03.004
"Antagonistic Pleiotropy Theory",T002593,"Polygamy-Driven Accelerated Evolution Theory of Human Longevity and Intelligence","Polygamy and the evolution of human longevity.",10.1016/0047-6374(79)90112-x
"Antagonistic Pleiotropy Theory",T003956,"Antagonistic pleiotropy theory of aging mediated by endostatin","Endostatin and kidney fibrosis in aging: a case for antagonistic pleiotropy?",10.1152/ajpheart.00064.2014
"Antagonistic Pleiotropy Theory",T004707,"Evolutionary Tradeoff Theory Between Neurodegeneration and Cancer","At the Crossroads Between Neurodegeneration and Cancer: A Review of Overlapping Biology and Its Implications.",10.2174/1874609811666180223154436
"Antagonistic Pleiotropy Theory",T005911,"Amyloidogenic Evolvability as an Antagonistic Pleiotropic Mechanism in Alzheimer's Disease","Reconsideration of Alzheimer's Disease Therapy from a Viewpoint of Amyloidogenic Evolvability.",10.3233/ADR-210021
"Antagonistic Pleiotropy Theory",T005912,"Antagonistic pleiotropy theory of aging applied to adiponectin paradox","Adiponectin Paradox as a Therapeutic Target in Alzheimer's Disease.",10.3233/JAD-200416
"Antagonistic Pleiotropy Theory",T007062,"Evolutionary Biology and Biodemography Framing of Inborn Aging Process","Framing the inborn aging process and longevity science.",10.1007/s10522-009-9255-x
"Antagonistic Pleiotropy Theory",T008833,"Theory of Optimized Phenotypic Trajectories (OPT)","Can aging research generate a theory of health?",10.1007/s40656-021-00402-w
"Antagonistic Pleiotropy Theory",T009745,"Amyloidogenic Protein Evolvability and Antagonistic Pleiotropy Theory in Neurodegenerative Disease","Motor and Nonmotor Symptoms of Parkinson's Disease: Antagonistic Pleiotropy Phenomena Derived from <i>α</i>-Synuclein Evolvability?",10.1155/2018/5789424
"Antagonistic Pleiotropy Theory",T023135,"Evolutionary trade-off theory of reproduction and longevity","Tachykinin neurokinin 3 receptor antagonists: a new treatment for cardiovascular disease?",10.1016/S0140-6736(16)31648-8
"Antagonistic Pleiotropy Theory",T023210,"Antagonistic Pleiotropy Theory in the Context of Germline-Restricted Chromosome Evolution","Programmed DNA elimination of germline development genes in songbirds.",10.1038/s41467-019-13427-4
"Antagonistic Pleiotropy Theory",T023875,"Exaptation and Serendipity Framework in Aging Research","Exaptation; serendipity and aging.",10.1016/j.mad.2017.01.001
"Antagonistic Pleiotropy Theory",T024639,"Growth-Death Trade-Off Principle in Single Cells","Live fast; die fast principle in a single cell of fission yeast.",10.15698/mic2017.09.591
"Antagonistic Pleiotropy Theory",T025962,"Evolutionary theory of aging related to inbreeding depression and actuarial senescence","Multi-locus homozygosity promotes actuarial senescence in a wild mammal.",10.1111/1365-2656.13979
"Antagonistic Pleiotropy Theory",T025970,"Evolutionary theories of senescence","Evolution of senescence: Alzheimer's disease and evolution.",10.1016/s0960-9822(02)00411-6
"Antagonistic Pleiotropy Theory",T026022,"Evolutionary theory linking somatic mutation rates to lifespan","Aging: Lifespan and the evolution of somatic mutation rates.",10.1016/j.cub.2022.06.002
"Antagonistic Pleiotropy Theory",T026074,"Antagonistic Pathogenic Pleiotropy","Platelet Factor 4 and Longevity of Patients with Essential Thromobocythemia: An Example of Antagonistic Pathogenic Pleiotropy.",10.1089/rej.2023.0066
"Antagonistic Pleiotropy Theory",T026079,"Evolutionary trade-off theory of aging via pathogen-driven selection","Loss of α-gal during primate evolution enhanced antibody-effector function and resistance to bacterial sepsis.",10.1016/j.chom.2020.12.017
"Antagonistic Pleiotropy Theory",T026089,"Evolutionary theory of telomere dynamics","Evolutionary ecology of telomeres: a review.",10.1111/nyas.13443
"Antagonistic Pleiotropy Theory",T026821,"Evolutionary theory of aging via extrinsic mortality","Clownfishes are a genetic model of exceptional longevity and reveal molecular convergence in the evolution of lifespan",10.1101/380709
"Antagonistic Pleiotropy Theory",T026980,"Evolutionary theory of aging influenced by social dynamics","Does sex age you?",10.1126/sageke.2004.14.pe14
"Antagonistic Pleiotropy Theory",T027426,"Evolutionary trade-off theory between reproduction and survival","Evolutionary trade-offs between growth and survival: The delicate balance between reproductive success and longevity in bacteria.",10.1016/bs.ampbs.2021.07.002
"Antagonistic Pleiotropy Theory",T027429,"Evolutionary trade-off theory of regeneration and cancer risk","Phylogeny; regeneration; ageing and cancer: role of microenvironment and possibility of its therapeutic manipulation.",file/5703/FB2013A0030.pdf
"Antagonistic Pleiotropy Theory",T027458,"Genetic Geroscience Paradigm","Genetic geroscience and Alzheimer's disease: The pleiotropy is the point!",10.1177/13872877251321182
"Antagonistic Pleiotropy Theory",T027489,"Evolutionary Theories of Aging","Introduction: Historical Development and Progression of Clinical Research on Ageing.",10.1007/978-3-031-26576-1_1
"Antagonistic Pleiotropy Theory",T027591,"Antagonistic Pleiotropy Theory of Senescence","A test of evolutionary theories of senescence.",10.1038/287141a0
"Autophagy Theory",T000354,"Autophagy as a causal mechanism promoting longevity","Autophagy as a promoter of longevity: insights from model organisms.",10.1038/s41580-018-0033-y
"Autophagy Theory",T000745,"Autophagy-mediated longevity theory in bats","Evolution of mammalian longevity: age-related increase in autophagy in bats compared to other mammals.",10.18632/aging.202852
"Autophagy Theory",T001073,"Autophagy-mediated longevity theory","Can autophagy promote longevity?",10.1038/ncb0910-842
"Autophagy Theory",T001247,"Autophagy as a fundamental mechanism of aging and cardiac homeostasis","Autophagy; innate immunity; and cardiac disease.",10.3389/fcell.2023.1149409
"Autophagy Theory",T001275,"Autophagy-Induced Longevity Theory via Spermidine","Spermidine: a novel autophagy inducer and longevity elixir.",10.4161/auto.6.1.10600
"Autophagy Theory",T001534,"Autophagy-mediated metabolic adaptation theory of hematopoietic stem cell aging","Autophagy counters inflammation-driven glycolytic impairment in aging hematopoietic stem cells.",10.1101/2023.08.17.553736
"Autophagy Theory",T001717,"Autophagy-mediated aging regulation via Atg1-Fip200 pathway","Drosophila Fip200 is an essential regulator of autophagy that attenuates both growth and aging.",10.4161/auto.24811
"Autophagy Theory",T002544,"Sestrin-mediated mTORC1 inhibition and autophagy activation theory of aging","<i>Sesn-1</i> is required for lifespan extension during caloric deprivation in <i>C. elegans</i> through inhibition of mTORC1 and activation of autophagy.",10.18632/aging.206290
"Autophagy Theory",T002554,"Autophagy-mediated aging delay theory","Immunostimulatory activity of lifespan-extending agents.",10.18632/aging.100619
"Autophagy Theory",T002761,"Autophagy as a fundamental aging mechanism theory","Autophagy: An evolutionarily conserved process in the maintenance of stem cells and aging.",10.1002/cbf.3427
"Autophagy Theory",T005207,"Autophagy as an anti-aging mechanism","Hormesis; cell death and aging.",10.18632/aging.100380
"Autophagy Theory",T005446,"Autophagy as a Longevity-Assurance Mechanism","Identification of autophagy as a longevity-assurance mechanism in the aging model Podospora anserina.",10.4161/auto.28148
"Autophagy Theory",T005691,"Autophagy as a compensatory quality control pathway theory","A genome-wide longitudinal transcriptome analysis of the aging model Podospora anserina.",10.1371/journal.pone.0083109
"Autophagy Theory",T005762,"Autophagy-mediated proteostasis theory of aging","Autophagy and aging: Maintaining the proteome through exercise and caloric restriction.",10.1111/acel.12876
"Autophagy Theory",T005802,"Autophagy-mediated stress resistance and longevity theory","Fibroblasts from long-lived mutant mice exhibit increased autophagy and lower TOR activity after nutrient deprivation or oxidative stress.",10.1111/j.1474-9726.2012.00833.x
"Autophagy Theory",T007573,"Autophagy-mediated aging theory","The effects of p53 on whole organism longevity are mediated by autophagy.",10.4161/auto.6730
"Autophagy Theory",T009019,"Autophagy-mediated hormesis and anti-aging theory","Anti-oxidative cellular protection effect of fasting-induced autophagy as a mechanism for hormesis.",10.1016/j.marenvres.2015.04.001
"Autophagy Theory",T010589,"Autophagy theory of aging","Autophagy in healthy aging and disease.",10.1038/s43587-021-00098-4
"Autophagy Theory",T012499,"Autophagy as a convergent causal mechanism of longevity","Autophagy and Longevity.",10.14348/molcells.2018.2333
"Autophagy Theory",T012815,"Autophagy theory of aging","Autophagy and cardiovascular aging: lesson learned from rapamycin.",10.4161/cc.20317
"Autophagy Theory",T013915,"Autophagy-mediated dietary restriction response theory in Podospora anserina","Does autophagy mediate age-dependent effect of dietary restriction responses in the filamentous fungus Podospora anserina?",10.1098/rstb.2013.0447
"Autophagy Theory",T014437,"Autophagy as a Causal Anti-Aging Mechanism","Autophagy - An Emerging Anti-Aging Mechanism.",10.4172/2161-0681.s4-006
"Autophagy Theory",T014564,"Autophagy-mediated longevity theory","The effect of fasting or calorie restriction on autophagy induction: A review of the literature.",10.1016/j.arr.2018.08.004
"Autophagy Theory",T014878,"Autophagy-mediated anti-aging mechanism of caloric restriction","Towards an understanding of the anti-aging mechanism of caloric restriction.",10.2174/1874609810801010004
"Autophagy Theory",T015006,"Autophagy as a Causal Mechanism of Aging and Longevity","Essential role for autophagy in life span extension.",10.1172/JCI73946
"Autophagy Theory",T015025,"Autophagy as a causal driver of chronological aging in yeast","A microarray-based genetic screen for yeast chronological aging factors.",10.1371/journal.pgen.1000921
"Autophagy Theory",T015119,"Autophagy-mediated mitochondrial quality control theory of aging","Autophagy and leucine promote chronological longevity and respiration proficiency during calorie restriction in yeast.",10.1016/j.exger.2013.01.006
"Autophagy Theory",T015565,"Autophagy-dependent longevity theory mediated by GATA transcription factors","The flavonoid 4;4'-dimethoxychalcone promotes autophagy-dependent longevity across species.",10.1038/s41467-019-08555-w
"Autophagy Theory",T015744,"Autophagy-mediated lifespan extension via vacuolar acidification","Autophagy extends lifespan via vacuolar acidification.",10.15698/mic2014.05.147
"Autophagy Theory",T016299,"Oxidative Stress and Autophagy-Mediated Longevity Theory","Astaxanthin promotes the longevity of <i>Caenorhabditis elegans via</i> modulation of the intracellular redox status and PHA-4-mediated autophagy.",10.1039/d4fo03490b
"Autophagy Theory",T016507,"Autophagy-Mediated Aging Delay Theory via SKN-1 Activation","Dimethylsulfoniopropionate (DMSP) Increases Longevity and Mitochondrial Function in <i>Caenorhabditis elegans</i>: Implications for the Role of the Global Sulfur Cycle in Terrestrial Ecosystems.",10.1021/envhealth.3c00208
"Autophagy Theory",T016581,"Autophagy activation via TOR inhibition theory of aging","Lifespan extension without fertility reduction following dietary addition of the autophagy activator Torin1 in Drosophila melanogaster.",10.1371/journal.pone.0190105
"Autophagy Theory",T016797,"Role of autophagy in lifespan extension during quiescence","Parallel profiling of fission yeast deletion mutants for proliferation and for lifespan during long-term quiescence.",10.1534/g3.114.014415
"Autophagy Theory",T016809,"Autophagy-mediated modulation of stress resistance during aging","New label-free automated survival assays reveal unexpected stress resistance patterns during C. elegans aging.",10.1111/acel.12998
"Autophagy Theory",T016827,"Autophagy-mediated longevity theory","Fine-tuning autophagy maximises lifespan and is associated with changes in mitochondrial gene expression in Drosophila.",10.1371/journal.pgen.1009083
"Autophagy Theory",T017915,"Autophagy Activation Theory of Aging","Overexpression of Atg5 in mice activates autophagy and extends lifespan.",10.1038/ncomms3300
"Autophagy Theory",T018004,"Autophagy theory of aging","How to live long and prosper: autophagy; mitochondria; and aging.",10.1152/physiol.00013.2008
"Caloric Restriction Mimetics Theory",T014954,"Calorie Restriction Mimetic (CRM) Theory of Aging","Calorie restriction mimetic drugs could favorably influence gut microbiota leading to lifespan extension.",10.1007/s11357-023-00851-0
"Caloric Restriction Mimetics Theory",T014970,"Calorie Restriction Mimetic Theory via Resveratrol","Resveratrol as a calorie restriction mimetic: therapeutic implications.",10.1016/j.tcb.2012.07.004
"Caloric Restriction Mimetics Theory",T014977,"Calorie Restriction Mimetic Theory via Alpha-Glucosidase Inhibition","Diabetes medications as potential calorie restriction mimetics-a focus on the alpha-glucosidase inhibitor acarbose.",10.1007/s11357-020-00278-x
"Caloric Restriction Mimetics Theory",T015010,"Caloric Restriction (CR) Mimetic Theory","A network pharmacology approach reveals new candidate caloric restriction mimetics in C. elegans.",10.1111/acel.12432
"Caloric Restriction Mimetics Theory",T015013,"Calorie Restriction Mimetic Theory via Sirtuin Activation","Effects of 2-deoxyglucose and dehydroepiandrosterone on intracellular NAD(+) level; SIRT1 activity and replicative lifespan of human Hs68 cells.",10.1007/s10522-011-9342-7
